,title,description,return,sentiment
3/19/2020 16:41,"LOGC LOSS ALERT: ROSEN, A GLOBLLY RECOGNIZED FIRM, Files First Securities Class Action Lawsuit Against LogicBio Therapeutics, Inc. - LOGC","Rosen Law Firm, a global investor rights law firm, announces it has filed a class action lawsuit on behalf of purchasers of the securities of LogicBio Therapeutics, Inc. (NASDAQ: LOGC) between December 3, 2018 and February 10, 2020, inclusive (the ""Class Peri…",2.3,
3/19/2020 17:17,Stock Market Wrapup: Uber Shows Investors the Money; Netflix Won't Break the Internet,Major benchmarks were modestly higher Thursday.,2.3,
3/19/2020 18:05,American Airlines Announces Cargo-Only Flights to Help Keep Business Moving - American Airlines Newsroom,"American Airlines is utilizing its currently grounded passenger aircraft to move cargo between the United States and Europe, ensuring the world’s goods continue to get where they need to go.",2.3,
3/19/2020 18:18,"Stock market news live: Futures resume selloff, contracts on the S&P 500 drop more than 1%","Stock futures opened lower Thursday evening, erasing gains from the regular trading session and setting up more choppy trading to end the week.",2.3,
3/19/2020 18:45,"RTIX LOSS NOTICE: ROSEN, A GLOBALLY RECOGNIZED FIRM, Continues its Investigation of Securities Claims Against RTI Surgical Holdings, Inc.; Encourages Investors with Losses in Excess of $100K to Contact the Firm - RTIX","Rosen Law Firm, a global investor rights law firm, continues to investigate potential securities claims on behalf of shareholders of RTI Surgical Holdings, Inc. (NASDAQ: RTIX) resulting from allegations that RTI may have issued materially misleading business …",2.3,
3/19/2020 18:53,Five Things You Need to Know to Start Your Day,Here are some of the things people in markets are talking about today.,2.3,
3/19/2020 19:23,"U.S. Futures Slide, Dollar Extends Gains in Asia: Markets Wrap - Yahoo Canada Finance","(Bloomberg) -- Asian stocks rose, U.S. stock futures came off earlier lows and the dollar halted an eight-day rally as investors took stock of stimulus measures, giving tentative signs of returning appetite for riskier assets.Gains in South Korea’s equity mar…",2.3,
3/19/2020 20:31,Investor Alert: Kaplan Fox Announces Investigation Of Cronos Group Inc.,"Kaplan Fox & Kilsheimer LLP (www.kaplanfox.com) is investigating claims on behalf of investors of Cronos Group Inc. (""Cronos"" or the ""Company"") (NASDAQ: CRON). A complaint has been filed against the Company on behalf of investors that purchased Cronos securit…",2.3,
3/19/2020 20:41,"Investor Alert: Kaplan Fox Announces Investigation Of Align Technology, Inc.","Kaplan Fox & Kilsheimer LLP (www.kaplanfox.com) is investigating claims on behalf of investors of Align Technology, Inc. (""Align"" or the ""Company"") (NASDAQ: ALGN). A complaint has been filed against the Company on behalf of investors that purchased Align comm…",2.3,
3/19/2020 20:53,4 Tech Companies That Soared on Thursday,"These growth stocks all jumped, even as the S&P 500 rose just 0.5%. Here's why.",2.3,
3/19/2020 21:11,"Asia shares seek calm, dollar rush causing stress","Asian shares sought a reprieve on Friday as Wall Street eked out gains, bonds rallied and oil boasted its biggest bounce on record, though a panicked rush into U.S. dollars suggested the crisis was far from done.",2.3,
3/19/2020 22:06,"Tesla To Shut Down Fremont Factory Due To Coronavirus, Says It Has Enough Cash To Survive - Benzinga","Tesla To Shut Down Fremont Factory Due To Coronavirus, Says It Has Enough Cash To Survive Benzinga Tesla suspending production at Bay Area factory amid coronavirus outbreak CNBC Tesla says it will shut down its Fremont factory—next Monday Ars Technica Coronav…",2.3,
3/19/2020 22:06,"Tesla To Shut Down Fremont Factory Due To Coronavirus, Says It Has Enough Cash To Survive","Tesla Inc. (NASDAQ: TSLA) will temporarily suspend production starting Monday at its Fremont factory as local authorities imposed restrictions on businesses to curb the novel coronavirus (COVID-19) outbreak.What Happened In a statement late Thursday, Tesla sa…",2.3,
3/19/2020 22:41,"Dow Jones Futures Fall California Issues Stay At Home Order, Tesla Fremont Plant Closes; Can Coronavirus Stock Market Rally Count To Two? - Investor's Business Daily","Dow Jones Futures Fall California Issues Stay At Home Order, Tesla Fremont Plant Closes; Can Coronavirus Stock Market Rally Count To Two? Investor's Business Daily The stock market may bottom long before the coronavirus epidemic peaks, analysts say MarketWatc…",2.3,
3/19/2020 23:04,"Amid coronavirus clampdown, Americans urged not to travel abroad; Italy surpasses China in deaths - Washington Post","Amid coronavirus clampdown, Americans urged not to travel abroad; Italy surpasses China in deaths Washington Post As Italy's Coronavirus Deaths Pass China's, Hospitals Strain To Keep Up NPR Italy's death toll rose to 3405 overtaking China Al Jazeera English I…",2.3,
3/18/2020 0:10,"Sensex rises over 500 points in opening deals, Nifty reclaims 9,000-mark","The S&P BSE Sensex climbed as high as 522.68 points (1.71 per cent) to 31,101.77, while the Nifty 50 index rose as much as 160.50 points (1.79 per cent) to 9,127.55.",-4.7,
3/18/2020 1:36,U.S. Index Futures Hit Limit Down as Volatility Grips Market,"(Bloomberg) -- U.S. stock futures slid, hitting exchange-enforced bands that prevent further losses, as investors assess the Trump administration’s beefed up policy response to the coronavirus.Contracts on the S&P 500, Nasdaq 100 and Dow Jones Industrial Aver…",-4.7,
3/18/2020 4:06,"Elbit Systems Announces the Results of its Extraordinary General Meeting of Shareholders Held on March 17, 2020","Elbit Systems Ltd. (NASDAQ: ESLT) (TASE: ESLT) (the ""Company"") announced today that at its Extraordinary General Meeting of Shareholders (the ""Meeting"") held on March 17, 2020, at the Company's offices in Haifa, the proposed resolution described in the Proxy …",-4.7,
3/18/2020 5:39,"LexinFintech Holdings Ltd. to Report Fourth Quarter and Full Year 2019 Unaudited Financial Results on March 24, 2020","LexinFintech Holdings Ltd. (""Lexin"" or the ""Company"") (NASDAQ: LX), a leading online consumption and consumer finance platform for educated young professionals in China, today announced that it will report its unaudited financial results for the fourth quarte…",-4.7,
3/18/2020 5:51,"Got $5,000? Here Are 4 Stocks the Smartest Investors Are Buying Right Now",History shows that now is a great time to go on the offensive and buy high-quality businesses.,-4.7,
3/18/2020 6:00,IDEAYA and Pfizer Enter Clinical Trial Collaboration and Supply Agreement to Evaluate Clinical Combination of IDE196 and Binimetinib in Solid Tumors Harboring GNAQ or GNA11 Hotspot Mutations,"IDEAYA Biosciences, Inc. (NASDAQ: IDYA), an oncology-focused precision medicine company committed to the discovery and development of targeted therapeutics to treat cancer, today announced that it has entered into a clinical trial collaboration and supply agr…",-4.7,
3/18/2020 6:00,IDEAYA Biosciences Announces IDE196 Monotherapy Phase 2 Dose Selection and Clinical Program Update,"IDEAYA Biosciences, Inc. (NASDAQ: IDYA), an oncology-focused precision medicine company committed to the discovery and development of targeted therapeutics to treat cancer, announces an update for IDE196, a Protein Kinase C (PKC) inhibitor, in its ongoing Pha…",-4.7,
3/18/2020 6:01,This Could Be the Biggest Winner of the Oil Market Crash,An oil stock that's lost 60% of its value but doesn't pump a single barrel of oil.,-4.7,
3/18/2020 6:09,Huntington Announces Immediate Financial Relief Measures for Customers Affected by Coronavirus,"Huntington (Nasdaq: HBAN; www.huntington.com) today announced the immediate, comprehensive steps it is taking to alleviate economic injury experienced by consumers and businesses due to the coronavirus pandemic.",-4.7,
3/18/2020 6:10,Market Snapshot: Dow futures tumble amid uncertainty on whether governments are doing enough to fight coronavirus,"U.S. stock-index futures point to another tumultuous session on Wednesday, falling their daily limit as investors grapple with a flood of coronavirus-flighting plans from governments and debate whether the measures will be enough.",-4.7,
3/18/2020 6:13,The Homebuilders Are On Sale: 60% Off,"The major residential homebuilders, for e.g., TOL, MTH, MDC, KBH and TPH, have lost 60%+ of their capitalization in just 3 weeks.This coronavirus-induced sell-off occurred amidst high demand for new homes, a limited supply nationwide of residential housing, r…",-4.7,
3/18/2020 6:16,The Longest Record Broken: Gold/Silver Ratio Hits Highest in over 5k Years,"The most amazing record broken was not in the stock market, however. It was the long-standing record in what’s perhaps the longest-running price series in financial history: the gold/silver ratio.",-4.7,
3/18/2020 6:21,Futures slide again as stimulus high fades,"U.S. stock index futures tumbled on Wednesday, pointing to another volatile session for Wall Street on fears that even dramatic stimulus measures would not be able to avert a deep coronavirus-driven recession.",-4.7,
3/18/2020 6:30,Ludwig-Maximilians-University Hospital Begins Patient Treatments with ViewRay's MRIdian Linac,"ViewRay, Inc. (Nasdaq: VRAY) announced today that Ludwig-Maximilians-University Hospital in Munich has begun patient treatments with MRIdian® Linac, a cutting-edge radiation therapy system that combines the latest innovations in precision radiation delivery a…",-4.7,
3/18/2020 6:48,'We're heading for recession': US futures plunge and oil plummets to 17-year low as coronavirus fears outweigh stimulus hopes,US stock futures fell by the maximum allowed and oil slumped to a 17-year low on Wednesday as government measures failed to dispel coronavirus fears. The sell-off comes after Treasury Secretary Steven Mnuchin warned US unemployment could surge to 20% if the F…,-4.7,
3/18/2020 6:50,"10 things you need to know today: March 18, 2020","1. Treasury Secretary Steven Mnuchin told reporters on Tuesday that the Trump administration wants Congress to approve sending checks to most American adults in the next two weeks to help them get through the coronavirus crisis. ""Americans need cash now,"" Mnu…",-4.7,
3/18/2020 6:51,Start the Clock: The Cannabis Stock Delisting Countdown Has Begun,A number of popular pot stocks could soon find themselves getting the boot from the New York Stock Exchange or Nasdaq.,-4.7,
3/18/2020 7:00,Leap Therapeutics Announces Executive Leadership Changes,"Leap Therapeutics, Inc. (Nasdaq: LPTX), a biotechnology company focused on developing targeted and immuno-oncology therapeutics, today announced changes to the Company's Executive Leadership Team. All changes to the Board of Directors are effective immediatel…",-4.7,
3/18/2020 7:30,Axon Announces New SVP of Artificial Intelligence,"Axon (Nasdaq: AAXN), the global leader in connected public safety technologies, today announced the addition of Yasser Ibrahim as Axon's SVP of Artificial Intelligence (AI), effective March 9, 2020.",-4.7,
3/18/2020 7:30,Akazoo Announces Share Repurchase Program and Special and Extraordinary General Meeting Results,"Akazoo S.A. (NASDAQ: SONG) (""Company""), a leading global music streaming platform and media technology company with a strong international market position focused on emerging markets, today announced that shareholders voted to approve all of the resolutions p…",-4.7,
3/18/2020 7:30,Huntington Commercial Banking Director Rick Remiker Announces Plan to Retire,"After more than 38 years in financial services, Huntington (Nasdaq: HBAN; www.huntington.com) Commercial Banking Director Rick Remiker has announced his decision to retire in May 2020.",-4.7,
3/18/2020 7:36,"The Daily Biotech Pulse: AbbVie, Allergan Agree On Divestments, Obalon Stops Obesity Balloon Sale, COVID-19 Updates",Here's a roundup of top developments in the biotech space over the last 24 hours.Scaling The Peaks (Biotech Stocks Hitting 52-week highs on March 17) * BioNTech SE - ADR (NASDAQ: BNTX) * Regeneron Pharmaceuticals Inc (NASDAQ: REGN) ( Updated on its COVID-19 t…,-4.7,
3/18/2020 7:47,"US STOCKS-Futures slump as stimulus high fades, Boeing tumbles","U.S. stock index futures tumbled on Wednesday, pointing to another volatile session for Wall Street as a bounce from sweeping stimulus measures was eclipsed by growing signs of coronavirus damage to corporate America.  Boeing Co fell another 17% in premarket …",-4.7,
3/18/2020 8:00,Akamai Technologies Elects Marianne Brown to Board of Directors,"Akamai (NASDAQ: AKAM), the intelligent edge platform for securing and delivering digital experiences, today announced the appointment of Marianne Brown to the Akamai Board of Directors effective March 13, 2020.",-4.7,
3/18/2020 8:00,Century Casinos Announces Additional Casino Closures in Response to COVID-19 Pandemic,"Century Casinos, Inc. (Nasdaq Capital Market®: CNTY) (""Century Casinos"" or the ""Company"") announced today that it temporarily closed its Canadian, West Virginia and Missouri casinos on Tuesday, March 17, 2020 to comply with quarantines issued by governments i…",-4.7,
3/18/2020 8:00,Ribbon's Intelligent Edge Solutions Certified for Microsoft Teams Direct Routing Voice Calling Capabilities,"Ribbon Communications Inc. (Nasdaq: RBBN), a global software leader in secure and intelligent cloud communications solutions, today announced that its market-leading Intelligent Edge multi-service business gateways (MSBGs), which include the EdgeMarc 2900, 48…",-4.7,
3/18/2020 8:01,ReWalk Announces Progress with German Statutory Health Insurer to Provide Coverage of Robotic Exoskeletons for Individuals With Spinal Cord Injuries,"ReWalk Robotics, Ltd. (Nasdaq: RWLK) (""ReWalk"" or the ""Company""), a leading manufacturer of robotic medical devices for individuals with lower limb disabilities has announced the finalization of an agreement with a group of German statutory health insurer (SH…",-4.7,
3/18/2020 8:05,"Biocept to Release 2019 Fourth Quarter and Full Year Financial Results and Host Investor Conference Call on March 25, 2020","Biocept, Inc. (NASDAQ: BIOC), a leading commercial provider of liquid biopsy tests designed to provide physicians with clinically actionable information to improve the outcomes of patients diagnosed with cancer, announces that it will release financial result…",-4.7,
3/18/2020 8:23,"BUZZ-U.S. STOCKS ON THE MOVE-Energy cos, tech cos, Walt Disney, Boeing - Nasdaq","A compilation of the most active stocks on U.S. exchanges. For faster updates on individual market-movers, Eikon users please use search string ""STXBZ US"" and Thomson One users please search ""RT/STXBZ US"".",-4.7,
3/18/2020 8:23,PagerDuty's Prospective Pullback,"PagerDuty offers little over its free competitors, and its stock is essentially driven by hype.The company's pricing scheme makes it a cost center both for large companies and small startups.SARS-CoV-2 is a catalyst that will drive money out of hype stocks th…",-4.7,
3/18/2020 8:30,"Thermogenesis Holdings To Announce Financial Results For The Year Ended December 31, 2019 And Provide A Corporate Strategic Update","ThermoGenesis Holdings, Inc. (Nasdaq: THMO), a market leader in automated cell processing tools and services in the cell and gene therapy field, today announced that the Company will release its financial results for the year ended December 31, 2019 and provi…",-4.7,
3/18/2020 8:30,"Recon Technology, Ltd. Reports Financial Results for the First Six Months of Fiscal Year 2020","Recon Technology, Ltd. (Nasdaq: RCON) (""Recon"" or the ""Company""), today announced its financial results for the first six months of fiscal year 2020.",-4.7,
3/18/2020 8:45,Key Words: Wall Street billionaire to President Trump: ‘Send everyone home now’,Pershing Square’s Bill Ackman is calling for drastic measures.,-4.7,
3/18/2020 9:00,Bank7 Corp. Declares Quarterly Cash Dividend on Common Stock,"Bank7 Corp. (NASDAQ: BSVN), the parent company of Oklahoma City-based Bank7, today announced the declaration of a quarterly cash dividend of $0.10 per share on its outstanding common stock. The dividend will be paid on April 14, 2020, to shareholders of recor…",-4.7,
3/18/2020 9:00,Morningstar Reports U.S. Mutual Fund and ETF Fund Flows for February 2020,"Morningstar, Inc. (Nasdaq: MORN), a leading provider of independent investment research, today reported estimated U.S. mutual fund and exchange-traded fund (ETF) fund flows for February 2020. Overall, investors backed away from U.S. equity funds and turned to…",-4.7,
3/18/2020 9:00,"69% of Health Insurance Enrollees Do Not Understand How Their Coverage Works for Coronavirus (COVID-19), eHealth Survey Finds","According to a new survey of nearly 600 individual and family health insurance enrollees released today by eHealth, Inc. (NASDAQ: EHTH) (eHealth.com), more than two thirds (69%) feel they lack a basic understanding of how testing and treatment of coronavirus …",-4.7,
3/18/2020 9:00,"iClick Interactive to Report Fourth Quarter and Full Year 2019 Financial Results on March 31, 2020","iClick Interactive Asia Group Limited (""iClick"" or ""the Company"") (NASDAQ: ICLK), an independent online marketing and enterprise data solutions provider in China, today announced that it will report its unaudited fourth quarter and full year 2019 financial re…",-4.7,
3/18/2020 9:07,"Dow plunges, oil craters as Congress weighs $1T stimulus - Fox Business",The government's stimulus package is designed to prop up the most harshly pummeled sectors of the U.S. economy and give cash to those out of work.,-4.7,
3/18/2020 9:15,Allegiant Announces Strategic Measures Due To Operational Impact Of COVID-19 Pandemic,"In light of continuing operational impacts of the Coronavirus Disease / COVID-19 pandemic, Allegiant Travel Company (NASDAQ: ALGT) today announced a slate of strategic measures aimed at strengthening the company's balance sheet, consolidating demand while con…",-4.7,
3/18/2020 9:23,SHAREHOLDER ALERT: Purcell Julie & Lefkowitz LLP Is Investigating Cognex Corporation for Potential Breaches Of Fiduciary Duty By Its Board of Directors,"Purcell Julie & Lefkowitz LLP, a class action law firm dedicated to representing shareholders nationwide, is investigating a potential breach of fiduciary duty claim involving the board of directors of Cognex Corporation (NASDAQ: CGNX).",-4.7,
3/18/2020 9:25,SHAREHOLDER ALERT: Purcell Julie & Lefkowitz LLP Is Investigating Simmons First National Corporation for Potential Breaches Of Fiduciary Duty By Its Board of Directors,"Purcell Julie & Lefkowitz LLP, a class action law firm dedicated to representing shareholders nationwide, is investigating a potential breach of fiduciary duty claim involving the board of directors of Simmons First National Corporation (NASDAQ: SFNC).",-4.7,
3/18/2020 9:39,"Stock Market Drops 6%, Rally Not Sustainable As Coronavirus Cases Rise","Stocks fell at the open Wednesday dashing hopes of a sustained rally following a welcome uptick the day before. Despite a range of economic measures for well over $1 trillion proposed Tuesday by the Trump administration, the Dow Jones futures had plunged in W…",-4.7,
3/18/2020 9:43,"Dow plunges more than 1,000 points as coronavirus volatility continues","The Dow Jones Industrial Average plunged more than 1,100 points at Wednesday's opening, just another day of volatility on Wall Street as the novel coronavirus crisis continues to sow massive uncertainty on the global economy. The S&P 500 and Nasdaq both fell …",-4.7,
3/18/2020 9:46,Citius Pharmaceuticals to Deliver Virtual Presentation at the Spring Investor Summit,"Citius Pharmaceuticals, Inc. (""Citius"" or the ""Company"") (Nasdaq: CTXR), a specialty pharmaceutical company focused on adjunctive cancer care and critical care drug products, announced today that Chief Executive Officer Myron Holubiak will deliver a virtual p…",-4.7,
3/18/2020 9:46,Stock Market Takes Another Dive as Coronavirus Fallout Spreads,"U.S. equities markets plunged again at Wednesday’s opening after a one-day respite on Tuesday when major indices ended the day in positive territory. Early Wednesday morning, trading in Dow Futures was halted after that index fell more than 5% in pre-market t…",-4.7,
3/18/2020 9:59,Stocks tumble amid economic hit from the coronavirus,Wall Street is absorbing the economic hit from the pandemic as companies furlough workers and restaurants shut down.,-4.7,
3/18/2020 10:07,"US stocks open lower, erasing recent gains and plunging shares deeper into bear territory",The rollercoaster ride of equity markets continues as all of the major stock indexes opened sharply lower one day after President Donald Trump announced the intention to push through a sweeping aid package -- including the potential for a direct payout to mos…,-4.7,
3/18/2020 10:07,"US stocks open lower, erasing recent gains and plunging shares deeper into bear territory",The rollercoaster ride of equity markets continues as all of the major stock indexes opened sharply lower one day after President Donald Trump announced the intention to push through a sweeping aid package — including the potential for a direct payout to most…,-4.7,
3/18/2020 10:10,US STOCKS-Boeing leads Wall St slump as corporate damage grows,"Wall Street's main indexes sank again on Wednesday, as growing signs of coronavirus damage to corporate America overshadowed a burst of optimism about sweeping official moves to protect the economy.  Boeing Co took another big hit, falling 16.1% as the planem…",-4.7,
3/18/2020 10:15,Boeing leads Wall Street slump as corporate damage grows,"Boeing Co took another big hit, falling 16.1% as the planemaker called for a $60 billion bailout for aerospace manufacturers facing the pain of an extended collapse in global travel. The S&P 1500 airlines index dropped 13% while hotel operators Hilton Worldwi…",-4.7,
3/18/2020 10:52,5 Recession-Resistant Tech Stocks to Buy Amid Coronavirus Scare - Yahoo Finance,Coronavirus outbreak has heightened recession fears. Here are five recession-resistant technology stocks including Microsoft (MSFT) to beat COVID-19 induced recession woes.,-4.7,
3/18/2020 11:02,JPMorgan just pledged $50 million in aid to small businesses and nonprofits as the coronavirus sends the economy into a nosedive,JPMorgan Chase announced Wednesday it's launching a $50 million fund in humanitarian aid and small business grants to help communities recover from the novel coronavirus outbreak. Recipients include the World Health Organization and United Nation Foundation's…,-4.7,
3/18/2020 11:35,Stock Market News: Tesla to Shelter in Place; Lennar Leads Homebuilders Lower,The stock market took another hit Wednesday morning.,-4.7,
3/18/2020 11:48,"Vaxart, Emergent Biosolutions Partner On Coronavirus Vaccine Development",Vaxart Inc (NASDAQ: VXRT) shares were advancing Wednesday following an update from the company on its COVID-19 vaccine program.Vaxart said it has entered into an agreement with Emergent Biosolutions Inc (NYSE: EBS) that will allow Emergent to deploy its molec…,-4.7,
3/18/2020 12:28,US stock markets crash as coronavirus hammers global economy,"The Dow Jones Industrial Average plunged over 1,400 points right after the opening bell",-4.7,
3/18/2020 12:52,Shareholder Update from AIkido Pharma Incorporated on Coronavirus Option,AIkido Pharma Incorporated (Nasdaq: AIKI) today provided an update on the recently announced Coronavirus technology optioned by the Company.,-4.7,
3/18/2020 13:06,"Stocks Plunge 7%, Triggering Trading Halt, As Coronavirus Causes Unprecedented Volatility On Wall Street","Stocks were down again on Wednesday, erasing the previous session’s gains as investors grappled with ongoing uncertainty from the coronavirus.",-4.7,
3/18/2020 13:14,Stock plunge triggers fourth trading pause in 2 weeks,"Shortly before 1 p.m., the S&amp;P 500 index hit the 7 percent decline needed to trigger a<b> </b>mandatory 15-minute break.",-4.7,
3/18/2020 13:39,Asymmetric survival horror game Dead by Daylight is coming to Android (Update: Coming April 16),Update 1 : 2020/02/27 8:01am PST Dead by Daylight Mobile will be officially released on Android this spring Update 2 : 2020/03/18 10:39am PDT Dead by Daylight Mobile will land on Android on April 16th Behaviour Interactive has announced that its asymmetric su…,-4.7,
3/18/2020 13:52,"Moore Kuehn Encourages DLPH, CSFL, TTPH, and FSCT Investors to Contact Law Firm","Moore Kuehn, PLLC, a securities litigation law firm located on Wall Street in downtown New York City, is investigating potential claims concerning whether the following proposed mergers are fair to shareholders. Moore Kuehn may ultimately seek increased consi…",-4.7,
3/18/2020 14:56,SEI Announces Increase in Stock Repurchase Program,"The Board of Directors of SEI Investments Company (NASDAQ: SEIC) today announced an increase in its stock repurchase program by an additional $250 million, increasing the available authorization under the program to approximately $272 million. Since the begin…",-4.7,
3/18/2020 15:00,"INO SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Alerts Inovio Pharmaceuticals, Inc. Investors of Class Action and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm","Attorney Advertising-- Bronstein, Gewirtz & Grossman, LLC reminds investors that a class action lawsuit has been filed against Inovio Pharmaceuticals, Inc. (""Inovio"" or the Company"") (NASDAQ: INO) and certain of its officers, on behalf of shareholders who pur…",-4.7,
3/18/2020 15:29,JLL Income Property Trust Announces Q4 2019 Earnings Call,"JLL Income Property Trust, an institutionally managed, daily NAV REIT (NASDAQ: ZIPTAX; ZIPTMX; ZIPIAX; ZIPIMX), will hold a public earnings call on Wednesday, March 25, 2020 at 2:00 PM CDT to review fourth quarter and 2019 full year operating and financial re…",-4.7,
3/18/2020 16:01,Arena Pharmaceuticals Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),"Arena Pharmaceuticals, Inc. (Nasdaq: ARNA) today announced that on March 12, 2020, the Compensation Committee of its Board of Directors approved inducement stock options and inducement performance restricted stock units (""PRSUs"") to new employees that were gr…",-4.7,
3/18/2020 16:03,Zion Oil & Gas Purchases Drilling Rig for Israel Operations,"Zion Oil & Gas, Inc. (Nasdaq: ZN) announces they (i) entered into a Purchase and Sale Agreement on March 12, 2020, for a drilling rig, drill pipe, and related equipment for $5.6 million in cash, and (ii) closed that purchase on March 12, 2020, the same day, b…",-4.7,
3/18/2020 16:05,Cumberland Pharmaceuticals Reports 17% Revenue Growth For The Full Year 2019,"Cumberland Pharmaceuticals Inc. (NASDAQ: CPIX), a specialty pharmaceutical company focused on hospital acute care and gastroenterology, today announced fourth quarter and full year 2019 financial results. Net Revenues for the fourth quarter were $13.7 million…",-4.7,
3/18/2020 16:05,Hain Celestial Completes Strategic Sales of the Casbah® and Europe's Best® Brands,"The Hain Celestial Group, Inc. (Nasdaq: HAIN) (""Hain Celestial"" or the ""Company""), a leading organic and natural products company with operations in North America, Europe, Asia and the Middle East providing consumers with A Healthier Way of Life™, today annou…",-4.7,
3/18/2020 16:05,"BIOLASE Reschedules Fourth Quarter 2019 Earnings Call To March 26, 2020","BIOLASE, Inc. (NASDAQ: BIOL), the global leader in dental lasers, today announced that it has rescheduled its fourth quarter and full year 2019 earnings conference call to Thursday, March 26, 2020, due to scheduling conflicts.",-4.7,
3/18/2020 16:08,Stocks Lose Nearly All Gains Under Trump Presidency As Market Falls Another 6%,The stock market is now almost lower than it was when Trump took office.,-4.7,
3/18/2020 16:11,Portola Pharmaceuticals Announces Proactive Steps Supporting Public Health Efforts to Combat Coronavirus (COVID-19),"Portola Pharmaceuticals, Inc.® (NASDAQ: PTLA) today announced proactive steps the Company is taking in support of public heath efforts to prevent furtherspread of coronavirus (or COVID-19) around the globe.",-4.7,
3/18/2020 16:29,Stock Market Wrap-Up: Rite Aid Stays Healthy; Delta Makes Deeper Cuts,Wednesday was another tough day on Wall Street.,-4.7,
3/18/2020 16:30,Charter Closes $2.5 Billion Senior Unsecured Notes,"Charter Communications, Inc. (NASDAQ: CHTR) (along with its subsidiaries, ""Charter"") today announced that its subsidiaries, CCO Holdings, LLC and CCO Holdings Capital Corp. (collectively, the ""Issuers""), have closed on $2.5 billion in aggregate principal amou…",-4.7,
3/18/2020 16:30,WesBanco Announces Initiatives to Assist Customers and Communities Affected by COVID-19,"WesBanco, Inc. (Nasdaq: WSBC), a diversified, multi-state bank holding company, announces that its affiliate, WesBanco Bank, has launched a number of initiatives and precautionary measures intended to mitigate the impact of the COVID-19 virus outbreak on its …",-4.7,
3/18/2020 16:32,"Stocks dive on coronavirus risks, wiping out 3 years of gains","The Dow closed below 20,000 for the first time since 2017 as the U.S.-Canada border is sealed.",-4.7,
3/18/2020 16:50,The Dow Closed Less Than 1% Above Trump’s First Day In Office,"The stock markets have been in free fall for just over a month. During another brutal day at the low point, the Dow was 4% below when President Trump took office. Only a very late day rally kept it above that watermark.",-4.7,
3/18/2020 16:50,"Dow Jones Plunges As Much As 2,300 Points; Trump Rally Round Trips - Investor's Business Daily","Dow Jones Plunges As Much As 2,300 Points; Trump Rally Round Trips Investor's Business Daily Dow drops 1,300 points, S&P 500 loses 5% as coronavirus market sell-off reaches new low CNBC Dow below 20,000 as stock plunge threatens Trump-era gains Fox Business S…",-4.7,
3/18/2020 16:51,Marriott International Provides Business Update Amidst The Rapidly Evolving Coronavirus Situation,"Marriott International, Inc. (NASDAQ: MAR) today provided the following business update amidst the rapidly evolving coronavirus (COVID-19) situation.",-4.7,
3/18/2020 17:15,"Ten thousand point wipeout: Markets continue downward plunge, as coronavirus fears rattle investors","The ongoing Covid-19 crisis wreaked havoc on global markets, as investors gave a mixed response to stimulus measures and containment efforts. In the US, the Dow Jones closed lower than at any point since Donald Trump’s election. Read Full Article at RT.com",-4.7,
3/18/2020 17:22,"New York Stock Exchange closes trading floor, will operate electronically","The New York Stock Exchange will close its trading floor and temporarily move to all electronic trading, NYSE President Stacey Cunningham announced Wednesday.",-4.7,
3/18/2020 18:00,Steel Dynamics Provides First Quarter 2020 Earnings Guidance,"Steel Dynamics, Inc. (NASDAQ/GS: STLD) today provided first quarter 2020 earnings guidance in the range of $0.83 to $0.87 per diluted share. Comparatively, the company's sequential fourth quarter 2019 earnings were $0.56 per diluted share and prior year first…",-4.7,
3/18/2020 18:00,Trip.com Group Limited Reports Unaudited Fourth Quarter and Full Year of 2019 Financial Results,"Trip.com Group Limited (Nasdaq: TCOM) (""Trip.com Group"" or the ""Company""), a leading provider of online travel and related services, including accommodation reservation, transportation ticketing, packaged tours and in-destination services, corporate travel ma…",-4.7,
3/18/2020 18:01,Live Nation Stock Keeps Tumbling as Coronavirus Self-Isolation Becomes Commonplace,Live Nation shares fell as much as 33% by midday Wednesday as municipalities around the U.S. further limit the size of gatherings and people brace for months of social isolation due to the coronavirus pandemic.,-4.7,
3/18/2020 18:05,The Market’s A Commodity Stat Like Oil And Treasury Futures,"Let the carnage play out based on still high valuation of the S&P 500 Index. The Big Board has molted into a commodities construct. Maybe, the apt verb is melted rather than molted.",-4.7,
3/18/2020 18:19,"Stock market news live: Stock futures drop, extending Wednesday's losses as policymakers ready more virus relief measures","Stock futures kicked off the overnight session lower, extending Wednesday’s crushing losses as policymakers and corporations continued to unleash further responses to the global coronavirus outbreak.",-4.7,
3/18/2020 18:24,German Billionaire Twins’ Investment In Biotech Firm Surges After Deal With Pfizer On Coronavirus Vaccine,"The brothers have gained billions since BioNTech, in which they are the biggest investors, announced new partners for its vaccine candidate, which it says will head to clinical trials by end of April.",-4.7,
3/18/2020 18:31,Why These Chinese Tech Stocks Got Crushed Today,Fears that coronavirus's impact on the global economy will be worse -- and longer-lasting -- than expected are wreaking havoc across the sector.,-4.7,
